Date,Description,Debit,Credit,Category
2026-09-12,DBS Direct Salary Tech Corp,,6200.00,Salary & Income
2026-09-10,Monthly Rental Transfer Landlord,1850.00,,Rent & Housing
2026-09-09,FairPrice Supermarket Orchard,164.20,,Food & Dining
2026-09-08,Grab Car Trip to Marina Bay,26.50,,Transport
2026-09-07,SP Services Electricity Bill,178.40,,Bills & Utilities
2026-09-06,Din Tai Fung Restaurant Dinner,98.50,,Food & Dining
2026-09-05,SimplyGo MRT Transport,18.00,,Transport
2026-09-04,Uniqlo Ion Orchard,89.00,,Shopping & Leisure
2026-09-03,Starbucks Coffee Ion Mall,8.50,,Food & Dining
2026-09-02,Singtel Mobile & Fibre Broadband,62.00,,Bills & Utilities
2026-09-01,Shell Petrol Station Ang Mo Kio,75.00,,Transport
2026-08-28,Freelance Web Consultation,,950.00,Salary & Income
2026-08-25,General Hardware Store Purchase,45.00,,General / Miscellaneous
